title,id,release_date,duration,genre_count,genre,rating,keywords,language,budget,revenue,url
Hard Luck Love Song,536208,10/15/2021,1h 44m,4,"Drama,Thriller,Music,Romance",0,5,English, NaN, NaN,https://www.themoviedb.org/movie/536208
Dragons: Dawn Of The Dragon Racers,298115,11/1/2014,26m,5,"Animation,Family,Adventure,Comedy,Fantasy",72,5,English, NaN, NaN,https://www.themoviedb.org/movie/298115
Assassin's Creed,121856,12/21/2016,1h 55m,3,"Action,Adventure,Science Fiction",54,14,English,"125,000,000.00","240,697,856.00",https://www.themoviedb.org/movie/121856
A Gruta,758510,10/29/2020,1h 38m,1,Horror,64,0,Portuguese, NaN, NaN,https://www.themoviedb.org/movie/758510
Insidious: Chapter 3,280092,6/4/2015,1h 37m,3,"Horror,Drama,Thriller",63,1,English,"10,000,000.00","104,303,851.00",https://www.themoviedb.org/movie/280092
Pride & Prejudice,4348,9/16/2005,2h 7m,2,"Drama,Romance",81,13,English,"28,000,000.00","121,147,947.00",https://www.themoviedb.org/movie/4348
Aloha Scooby-Doo!,24615,1/1/2005,1h 14m,5,"Mystery,Family,Animation,Adventure,Comedy",70,1,English, NaN, NaN,https://www.themoviedb.org/movie/24615
The Empire of Corpses,342588,10/2/2015,2h,4,"Animation,Mystery,Horror,Science Fiction",61,12,Japanese, NaN, NaN,https://www.themoviedb.org/movie/342588
Hubie Halloween,617505,10/7/2020,1h 43m,3,"Comedy,Mystery,Horror",61,8,English,"14,000,000.00", NaN,https://www.themoviedb.org/movie/617505
The Ten Commandments: The Movie,372519,1/28/2016,2h,1,Drama,73,0,Portuguese,"39,307,171.00","37,070,177.00",https://www.themoviedb.org/movie/372519
Boss Level,513310,2/19/2021,1h 41m,3,"Action,Science Fiction,Thriller",70,1,English,"45,000,000.00", NaN,https://www.themoviedb.org/movie/513310
Jack the Giant Slayer,81005,2/27/2013,1h 54m,4,"Fantasy,Action,Adventure,Family",57,2,English,"195,000,000.00","197,687,603.00",https://www.themoviedb.org/movie/81005
Pocahontas II: Journey to a New World,13761,8/4/1998,1h 12m,4,"Family,Adventure,Animation,Romance",54,3,English, NaN, NaN,https://www.themoviedb.org/movie/13761
College,13991,8/28/2008,1h 34m,1,Comedy,47,7,English,"7,000,000.00","6,230,276.00",https://www.themoviedb.org/movie/13991
Green Lantern: First Flight,17445,7/28/2009,1h 15m,5,"Action,Adventure,Animation,Fantasy,Science Fiction",69,4,English,"3,500,000.00", NaN,https://www.themoviedb.org/movie/17445
Space Pirate Captain Harlock,192577,9/7/2013,1h 55m,2,"Animation,Science Fiction",66,3,Japanese,"30,000,000.00","18,010,317.00",https://www.themoviedb.org/movie/192577
The Women and the Murderer,866127,9/9/2021,1h 32m,2,"Documentary,Crime",61,4,French, NaN, NaN,https://www.themoviedb.org/movie/866127
The Godfather: Part II,240,12/20/1974,3h 22m,2,"Drama,Crime",86,13,English,"13,000,000.00","102,600,000.00",https://www.themoviedb.org/movie/240
Leprechaun 3,19286,7/4/1995,1h 30m,3,"Comedy,Fantasy,Horror",59,3,English, NaN, NaN,https://www.themoviedb.org/movie/19286
First Blood,1368,10/22/1982,1h 33m,4,"Action,Adventure,Thriller,War",74,23,English,"15,000,000.00","125,212,904.00",https://www.themoviedb.org/movie/1368
Animal Crackers,315064,7/24/2020,1h 45m,3,"Comedy,Animation,Adventure",65,0,English, NaN, NaN,https://www.themoviedb.org/movie/315064
Mission: Impossible,954,5/22/1996,1h 50m,3,"Adventure,Action,Thriller",69,19,English,"80,000,000.00","457,731,198.00",https://www.themoviedb.org/movie/954
Bayala: A Magical Adventure,587065,10/24/2019,1h 25m,4,"Adventure,Animation,Family,Fantasy",59,0,English, NaN,"521,149.00",https://www.themoviedb.org/movie/587065
Men in Black: International,479455,6/12/2019,1h 55m,2,"Comedy,Science Fiction",60,14,English,"110,000,000.00","252,608,480.00",https://www.themoviedb.org/movie/479455
Blood Diamond,1372,1/26/2006,2h 23m,3,"Drama,Thriller,Action",75,17,English,"100,000,000.00","171,720,398.00",https://www.themoviedb.org/movie/1372
